,City,Country,Lat,Lng,Humidity,Hotel Name
1,argo,GR,37.6333,22.7333,45,Apollon Hotel
96,remire-montjoly,GF,4.9167,-52.2667,100,Complexe Belova
107,hamilton,US,39.1834,-84.5333,95,North Vista Manor
190,at taj,LY,24.2049,23.2857,28,No hotel found
211,vila velha,BR,-20.3297,-40.2925,65,Hotel Prainha
213,broome,US,42.2506,-75.833,91,No hotel found
286,ha'il,SA,27.5219,41.6907,20,فندق كلاسيك
292,zalari,RU,53.5584,102.5065,44,No hotel found
306,nambour,AU,-26.6333,152.95,81,Amytis Gardens
327,itaituba,BR,-4.2761,-55.9836,94,TG Hotel
381,qarqaraly,KZ,49.4058,75.4742,47,Каркаралинск
383,belmonte,BR,-15.8631,-38.8828,79,No hotel found
407,corning,US,42.1428,-77.0547,89,Radisson Hotel Corning
432,matoury,GF,4.8483,-52.3317,100,La Marmotte
438,old town,CZ,50.087,14.4202,76,Terasa U Prince
459,heihe,CN,50.2441,127.4902,31,Санкт-Петербург
465,pirot,RS,43.1531,22.5861,70,Гали апартамани
469,sidi akkacha,DZ,36.4647,1.3026,48,Hôtel des Arts
478,sfax,TN,34.7406,10.7603,78,دار بية
483,kone,NC,-21.0595,164.8658,41,Pacifik Appartels
503,marsala,IT,37.7966,12.4352,78,Stella d'Italia
543,guercif,MA,34.2257,-3.3536,58,No hotel found
